"Record_number","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Country","Region","Site_name","Site_ID","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_spring","Rs_summer","Rs_autumn","Rs_winter","Rs_growingseason","Rs_wet","Rs_dry","RC_seasonal","RC_season","GPP","ER","NEP","NPP","ANPP","BNPP","NPP_FR","TBCA","Litter_flux","Rootlitter_flux","TotDet_flux","Ndep","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes","Site2","Site.match"
3216,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOT1A",1981,1,49.34,16.7,"625","None","",NA,"79","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3218,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTI",1977,1,49.34,16.7,"625","None","",NA,"1","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3219,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTI",1978,1,49.34,16.7,"625","None","",NA,"2","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3220,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTI",1979,1,49.34,16.7,"625","None","",NA,"3","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3221,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTI",1980,1,49.34,16.7,"625","None","",NA,"4","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3222,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTI",1981,1,49.34,16.7,"625","None","",NA,"5","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3223,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTI",1982,1,49.34,16.7,"625","None","",NA,"6","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3224,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTII",1993,1,49.34,16.7,"625","None","",NA,"91","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3225,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTII",1994,1,49.34,16.7,"625","None","",NA,"92","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3226,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTII",1995,1,49.34,16.7,"625","None","",NA,"93","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3227,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTIII",1993,1,49.34,16.7,"625","None","",NA,"17","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3228,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTIII",1994,1,49.34,16.7,"625","None","",NA,"18","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3229,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTIII",1995,1,49.34,16.7,"625","None","",NA,"19","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3230,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTIV",1993,1,49.34,16.7,"625","Thinned","",NA,"17","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3231,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTIV",1994,1,49.34,16.7,"625","Thinned","",NA,"18","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3232,"2009-08-13",2056,"Kulhavy",NA,"","BBL","Czech Republic","","Rájec nad Svitavou","CZ-RNS-PLOTIV",1995,1,49.34,16.7,"625","Thinned","",NA,"19","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Cambisol","Dry",NA,NA,NA,NA,NA,6.6,683,NA,NA,"","Alkali absorption",NA,7.5,NA,"",30,1,"",430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","49.34 16.7","49.25 16.75"
3233,"2009-08-14",269,"Ino",NA,"","BBL","Antarctica","","Ongul Island","AN-ONI",1979,1,-69.02,39.53,"1","None","",NA,"","Bryum pseudotriquetrum","Arctic","Desert","Natural","Evergreen","Mature","Sandy","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",NA,NA,NA,"",NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-69.02 39.53","-69.25 39.75"
3235,"2009-08-15",1971,"Chen",NA,"Q03","BBL","Australia","","Howard Springs","AU-HOS",1999.5,2,-12.5,130.75,"","None","",NA,"","Eucalyptus tetrodonta; Eucalyptus miniata","Tropical","Evergreen Forest","Natural","Evergreen","Mature","Sandy loam","Dry",1.42,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",12,2,4945,"",30,1,"",1430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37,2.2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Model parameters average of wet and dry season parameters","-12.5 130.75","-12.75 130.75"
3236,"2009-08-15",1120,"Son",NA,"","BBL","South Korea","Kyonggi","Yangpyeong","KR-YPY-YPR",1995,1,37.5,126.75,"","None","",NA,"40","Pinus rigida","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Sandy clay loam","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Alkali absorption",NA,NA,NA,"",30,1,"Exclusion",732,NA,NA,NA,25,707,0.03,NA,NA,NA,1.2,2.52,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.8,NA,NA,NA,NA,NA,706,NA,NA,"","37.5 126.75","37.75 126.75"
3237,"2009-08-15",1120,"Son",NA,"","BBL","South Korea","Kyonggi","Yangpyeong","KR-YPY-YLL",1995,1,37.5,126.75,"","None","",NA,"40","Larix leptolepis","Temperate","Deciduous Forest","Managed","Deciduous","Mature","Sandy clay loam","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Alkali absorption",NA,NA,NA,"",30,1,"Exclusion",646,NA,NA,NA,27,620,0.04,NA,NA,NA,1.13,2.17,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,NA,NA,NA,NA,NA,608,NA,NA,"","37.5 126.75","37.75 126.75"
3238,"2009-08-15",2565,"Coles",NA,"","BBL","USA","New York","Labrador Hollow Unique Area","US-LHU",1995,1,42.75,-76.02,"","None","",NA,"","Acer rubrum; Pinus strobus; Tsuga canadensis; Larix laricina","Temperate","Mixed Forest","Natural","Mixed","Mature","Organic","Wet",NA,NA,NA,NA,NA,6.5,1170,NA,NA,"739","Gas Chromatography",15,13,450,"",30,1,"Subtraction",371,NA,23,NA,137,234,0.37,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,66,66,150,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","42.75 -76.02","42.75 -76.25"
3239,"2009-08-15",2565,"Coles",NA,"","BBL","USA","New York","Labrador Hollow Unique Area","US-LHU",1996,1,42.75,-76.02,"","None","",NA,"","Acer rubrum; Pinus strobus; Tsuga canadensis; Larix laricina","Temperate","Mixed Forest","Natural","Mixed","Mature","Organic","Wet",NA,NA,NA,NA,NA,6.5,1170,NA,NA,"1213","Gas Chromatography",15,13,450,"",30,1,"Subtraction",403,NA,23,NA,149,254,0.37,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,91,91,206.8,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","42.75 -76.02","42.75 -76.25"
3243,"2009-08-15",3307,"DeForest",NA,"Q01","BBL","USA","Ohio","Oak Openings Preserve","US-OOP",2005,1.5,41.55,-83.84,"","None","",NA,"45","Quercus rubra; Quercus alba; Quercus velutina; Acer rubrum","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Sandy (Spodic Udipsamments)","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",NA,3,78.5,"",10,1,"",1383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R10 estimated from figure","41.55 -83.84","41.75 -83.75"
3245,"2009-08-15",1324,"Janssens",NA,"","BBL","French Guiana","","Paracou","GF-PRC-NAT",1994,1,5.25,-52.92,"","None","",NA,"","Mix","Tropical","Evergreen Forest","Natural","Evergreen","Mature","Oxisol","Dry",NA,12,NA,NA,NA,26,2200,NA,NA,"","IRGA",25,5,113.04,"",7,0.25,"",870,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,470,NA,NA,"","5.25 -52.92","5.25 -52.75"
3246,"2009-08-15",1324,"Janssens",NA,"","BBL","French Guiana","","Paracou","GF-PRC-10YR",1994,1,5.25,-52.92,"","None","",NA,"10","Mix","Tropical","Evergreen Forest","Managed","Evergreen","Mature","Oxisol","Dry",NA,14.7,NA,NA,NA,26,2200,NA,NA,"","IRGA",25,5,113.04,"",7,0.25,"",1097,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA,NA,"","5.25 -52.92","5.25 -52.75"
3247,"2009-08-15",1324,"Janssens",NA,"","BBL","French Guiana","","Paracou","GF-PRC-1YR",1994,1,5.25,-52.92,"","None","",NA,"1","Mix","Tropical","Evergreen Forest","Managed","Evergreen","Mature","Oxisol","Dry",NA,11.6,NA,NA,NA,26,2200,NA,NA,"","IRGA",25,5,113.04,"",7,0.25,"",946,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,"","5.25 -52.92","5.25 -52.75"
3250,"2009-08-18",1092,"Nakadai",NA,"","BBL","Japan","Ibaraki","National Institute for Agro-Environmental Science","JP-NIF-FERT",1992,1,36.02,140.12,"25","Fertilized","",NA,"1","Oryza sativa; Hordeum vulgare","Temperate","Agriculture","Managed","Deciduous","Aggrading","Humic andosol","Dry",NA,NA,NA,NA,NA,NA,NA,NA,13.6,"1129","IRGA",13,NA,346.19,"",60,1,"",514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,21700,70,"Summer equation","36.02 140.12","36.25 140.25"
3251,"2009-08-18",1092,"Nakadai",NA,"","BBL","Japan","Ibaraki","National Institute for Agro-Environmental Science","JP-NIF-FERT",1993,1,36.02,140.12,"25","Fertilized","",NA,"1","Oryza sativa; Hordeum vulgare","Temperate","Agriculture","Managed","Deciduous","Aggrading","Humic andosol","Dry",NA,NA,NA,NA,NA,NA,NA,NA,13.4,"1365","IRGA",13,NA,346.19,"",60,1,"",483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,21700,70,"Winter equation","36.02 140.12","36.25 140.25"
3252,"2009-08-18",1093,"Nakane",NA,"Q03,Q10","BBL","Japan","Hiroshima","Yoshiwa","JP-YOS",1992.5,1,34.18,132.13,"705","None","",NA,"102","Quercus serrata","Temperate","Deciduous Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,12.1,2174,NA,NA,"","Alkali absorption",NA,NA,NA,"",20,1,"",940,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11325,NA,NA,NA,610,NA,NA,"Table and text disagree on annual Rs, but figure seems to agree with text","34.18 132.13","34.25 131.75"
3253,"2009-08-18",3600,"Son",NA,"Q11","BBL","South Korea","","Mt. Kumdan_RF","KR-MKR-RF",2003.5,1,37.45,127.23,"203","None","",25,"","Salix glandulosa; Salix koreensis; Acer ginnala","Temperate","Deciduous Forest","Unmanaged","Deciduous","Aggrading","","Dry",NA,NA,NA,NA,NA,NA,1300,NA,NA,"","IRGA",NA,NA,176.63,"",30,1,"",655,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Model parameters seem wrong","37.45 127.23","37.25 127.25"
3254,"2009-08-18",3600,"Son",NA,"Q11","BBL","South Korea","","Mt. Kumdan_IF","KR-MKR-IF",2003.5,1,37.45,127.23,"203","None","",25,"","Spiraea prunifolia; Lespedeza bicola; Pueraria thunbergiana","Temperate","Shrubland","Unmanaged","Deciduous","Aggrading","","Dry",NA,NA,NA,NA,NA,NA,1300,NA,NA,"","IRGA",NA,NA,176.63,"",30,1,"",769,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Model parameters are missprinted in text, but these values (/100) fit figures","37.45 127.23","37.25 127.25"
3255,"2009-08-18",3600,"Son",NA,"Q11","BBL","South Korea","","Mt. Kumdan_CS","KR-MKR-CS",2003.5,1,37.45,127.23,"203","None","",25,"","Quercus mongolica; Quercus variabilis; Prunus sargentii; Fraxinus rhynchophylla","Temperate","Deciduous Forest","Natural","Deciduous","Aggrading","","Dry",NA,NA,NA,NA,NA,NA,1300,NA,NA,"","IRGA",NA,NA,176.63,"",30,1,"",671,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Model parameters are missprinted in text, but these values (/100) fit figures","37.45 127.23","37.25 127.25"
3256,"2009-08-18",4375,"Kim",NA,"","BBL","South Korea","","Sambong Exhibition Forests","KR-SEF-FERT",2003,2,35.43,127.62,"","Fertilized","",NA,"20","Larix leptolepis","Temperate","Deciduous Forest","Managed","Deciduous","Aggrading","Silt loam","Dry",NA,NA,NA,NA,NA,12.8,1322,NA,NA,"","IRGA",NA,NA,NA,"",30,1,"",908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,165,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,4120,NA,NA,NA,NA,16712,50,"","35.43 127.62","35.25 127.75"
3257,"2009-08-18",4375,"Kim",NA,"","BBL","South Korea","","Sambong Exhibition Forests","KR-SEF-CK",2003,2,35.45,127.63,"","None","",NA,"20","Larix leptolepis","Temperate","Deciduous Forest","Managed","Deciduous","Aggrading","Silt loam","Dry",NA,NA,NA,NA,NA,12.8,1322,NA,NA,"","IRGA",NA,NA,NA,"",30,1,"",956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,152,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,4225,NA,NA,NA,NA,17712,50,"","35.45 127.63","35.25 127.75"
3261,"2009-08-20",90,"De Santo",NA,"","BBL","Italy","","Monte Taburno","IT-MOT",1972.5,1,41.13,14.65,"1100","None","",NA,"","Fagus sylvatica","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Brown earth","Dry",NA,NA,NA,NA,NA,7.9,2166,NA,NA,"","Alkali absorption",NA,NA,NA,"",30,1,"",792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","41.13 14.65","41.25 14.75"
3266,"2009-08-20",3131,"Shibata",NA,"","BBL","Japan","","Tomakomai Experimental Forest","JP-TEF",1999.5,2,42.67,141.6,"","None","",NA,"45","Quercus mongolica; Acer mono; Acer palmatum; Magnolia hyporeuca","Temperate","Deciduous Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,7.1,1200,NA,NA,"","IRGA",NA,NA,71.6,"",NA,NA,"",592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,254,NA,NA,NA,NA,549,197,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","42.67 141.6","42.75 141.75"
3274,"2009-08-21",184,"Grisi",NA,"","BBL","Brazil","Bahia","Estação Experimental Gregório Bondar","BR-EST",1975.5,1,-16.07,-39.25,"120","None","",NA,"","Mix","Tropical","Evergreen Forest","Natural","Evergreen","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Alkali absorption",NA,NA,NA,"",30,1,"Comparison",700,NA,NA,NA,24,676,0.03,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-16.07 -39.25","-16.25 -39.25"
3275,"2009-08-21",241,"Medina",NA,"Q03","BBL","Venezuela","Amazonas","San Carlos de Rio Negro","VE-SCR-PODSOL",1976,2,1.9,-67,"","None","",NA,"","Mix","Tropical","Evergreen Forest","Natural","Evergreen","Mature","Podzolized white sands","Dry",NA,NA,NA,NA,NA,26,3500,NA,NA,"","Alkali absorption",NA,NA,NA,"",30,0.5,"Comparison",455,NA,NA,NA,329,126,0.72,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,NA,NA,NA,6600,3960,NA,NA,NA,NA,"Lat/long estimated","1.9 -67","1.75 -67.25"
3276,"2009-08-21",241,"Medina",NA,"Q03","BBL","Venezuela","Amazonas","San Carlos de Rio Negro","VE-SCR-LATERITE",1976,2,1.9,-67,"","None","",NA,"","Mix","Tropical","Evergreen Forest","Natural","Evergreen","Mature","Lateritic soils","Dry",NA,NA,NA,NA,NA,26,3500,NA,NA,"","Alkali absorption",NA,NA,NA,"",30,0.5,"Comparison",369,NA,NA,NA,248,121,0.67,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,435,NA,NA,NA,NA,NA,NA,NA,2783,1725,NA,NA,NA,NA,"Lat/long estimated","1.9 -67","1.75 -67.25"
3277,"2009-08-21",251,"Svensson",NA,"Q03","BBL","Sweden","","Stordalen","SE-STD",1974,1,68.37,19.05,"","None","",NA,"","","Boreal","Wetland","Natural","Mixed","Mature","Organic","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Gas Chromatography",13.5,8,86.55,"",30,0.33,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lat/long estimated","68.37 19.05","68.25 19.25"
3278,"2009-08-21",282,"Richards",NA,"Q03","BBL","Australia","New South Wales","Cedar Pit Flora Reserve","AU-CPF",1979,1,-30.5,152.4,"","None","",NA,"","","Tropical","Others","Natural","","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Alkali absorption",NA,NA,NA,"",30,1,"Extraction",890,NA,NA,151,285,601,0.32,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,295,590,885,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,"Lat/long estimated","-30.5 152.4","-30.25 152.25"
